pid,order,step,technique,task,size,trial,pAnswer,correctAnswer,startTime,endTime,completionTime,clicksLink,clicksNode,penDownTime
p4,D,S0,baseline,reach,n80,t0,23,25,-2049793850,-2049725134,68716,0,0,0
p4,D,S3,active,degree,n20,t0,7,5,-2047623280,-2047602771,20509,0,0,2862
p4,D,S2,active,reach,n40,t0,15,16,-2048256685,-2048202009,54676,0,0,8649
p4,D,S2,active,reach,n20,t0,8,8,-2048515246,-2048468193,47053,0,0,3582
p4,D,S3,active,degree,n80,t1,10,13,-2047348909,-2047302371,46538,0,0,4686
p4,D,S0,baseline,reach,n20,t3,9,9,-2050338680,-2050248427,90253,0,0,0
p4,D,S1,baseline,degree,n80,t0,11,19,-2048889807,-2048860227,29580,0,0,0
p4,D,S1,baseline,degree,n20,t3,5,5,-2049329566,-2049298429,31137,0,0,0
p4,D,S3,active,degree,n40,t2,8,7,-2047475953,-2047443669,32284,0,0,3443
p4,D,S1,baseline,degree,n40,t1,8,9,-2049085869,-2049049622,36247,0,0,0
p4,D,S2,active,reach,n80,t2,26,30,-2048026414,-2047936890,89524,0,0,12468
p4,D,S0,baseline,reach,n40,t1,12,13,-2049865522,-2049802991,62531,0,0,0
p4,D,S3,active,degree,n20,t3,5,5,-2047675294,-2047652062,23232,0,0,2520
p4,D,S0,baseline,reach,n80,t1,27,21,-2049653367,-2049578462,74905,0,0,0
p4,D,S2,active,reach,n20,t3,8,9,-2048466281,-2048421012,45269,0,0,3845
p4,D,S3,active,degree,n80,t2,14,16,-2047247613,-2047194969,52644,0,0,6180
p4,D,S0,baseline,reach,n20,t2,7,7,-2050245154,-2050190334,54820,0,0,0
p4,D,S2,active,reach,n40,t3,15,14,-2048345082,-2048268078,77004,0,0,8482
p4,D,S1,baseline,degree,n20,t2,3,3,-2049363715,-2049331625,32090,0,0,0
p4,D,S1,baseline,degree,n80,t1,12,13,-2048925051,-2048892102,32949,0,0,0
p5,A,S1,active,reach,n80,t3,27,28,-2037457824,-2037342325,115499,3,4,37948
p5,A,S1,active,reach,n40,t3,14,14,-2037643293,-2037568441,74852,2,11,20499
p5,A,S0,active,degree,n80,t1,12,13,-2038546327,-2038347564,198763,3,84,13207
p5,A,S2,baseline,degree,n40,t1,8,9,-2036568157,-2036524760,43397,1,16,0
p5,A,S0,active,degree,n20,t0,4,5,-2040624661,-2040575985,48676,0,15,15
p5,A,S3,baseline,reach,n20,t3,9,9,-2036066842,-2036025467,41375,0,6,0
p5,A,S3,baseline,reach,n80,t0,17,25,-2035661517,-2035592988,68529,0,8,0
p5,A,S1,active,reach,n20,t2,7,7,-2037776001,-2037743343,32658,0,4,9330
p5,A,S0,active,degree,n40,t0,7,9,-2039819380,-2039672952,146428,1,48,9054
p5,A,S2,baseline,degree,n80,t1,7,13,-2036377629,-2036342891,34738,3,18,0
p5,A,S3,baseline,reach,n40,t3,13,14,-2035992142,-2035944833,47309,3,15,0
p5,A,S2,baseline,degree,n20,t0,4,5,-2036833600,-2036801019,32581,0,11,0
p5,A,S0,active,degree,n20,t1,3,4,-2040298080,-2040224754,73326,1,24,2301
p5,A,S1,active,reach,n80,t2,30,30,-2037339789,-2037184819,154970,1,11,55898
p5,A,S1,active,reach,n40,t2,15,15,-2037513305,-2037462240,51065,0,5,18181
p5,A,S0,active,degree,n80,t0,19,19,-2038891471,-2038548951,342520,2,102,25105
p5,A,S3,baseline,reach,n80,t3,29,28,-2035590520,-2035493641,96879,1,16,0
p5,A,S2,baseline,degree,n40,t2,5,7,-2036645617,-2036610956,34661,0,6,0
p5,A,S3,baseline,reach,n20,t0,8,8,-2036106721,-2036069176,37545,0,6,0
p5,A,S2,baseline,degree,n20,t3,4,5,-2036738629,-2036719610,19019,0,5,0
p5,A,S1,active,reach,n20,t3,9,9,-2037962941,-2037891159,71782,0,9,9809
p5,A,S2,baseline,degree,n80,t2,11,16,-2036518379,-2036449481,68898,0,33,0
p5,A,S0,active,degree,n40,t1,9,9,-2040198133,-2039989599,208534,6,47,11412
p5,A,S3,baseline,reach,n40,t0,12,16,-2035876952,-2035815280,61672,3,22,0
p5,A,S0,active,degree,n20,t2,2,3,-2040378982,-2040313178,65804,0,21,1917
p5,A,S2,baseline,degree,n40,t3,5,8,-2036703163,-2036650864,52299,0,17,0
p5,A,S1,active,reach,n80,t1,22,21,-2037084067,-2037004754,79313,0,4,38902
p5,A,S0,active,degree,n80,t3,12,14,-2039370952,-2039156805,214147,5,100,11974
p5,A,S1,active,reach,n40,t1,12,13,-2037566532,-2037517246,49286,0,8,14536
p5,A,S3,baseline,reach,n80,t2,26,30,-2035490824,-2035461108,29716,0,8,0
p5,A,S3,baseline,reach,n20,t1,12,11,-2036171474,-2036108795,62679,0,7,0
p5,A,S2,baseline,degree,n20,t2,3,3,-2036767888,-2036740402,27486,0,9,0
p5,A,S0,active,degree,n40,t2,6,7,-2039986921,-2039827939,158982,1,37,5999
p5,A,S1,active,reach,n20,t0,8,8,-2037888942,-2037837350,51592,0,6,12359
p5,A,S2,baseline,degree,n80,t3,13,14,-2036443352,-2036380941,62411,0,19,0
p5,A,S3,baseline,reach,n40,t1,13,13,-2035941713,-2035879238,62475,0,19,0
p5,A,S0,active,degree,n20,t3,5,5,-2040531658,-2040390045,141613,1,24,6680
p5,A,S1,active,reach,n80,t0,25,25,-2037182787,-2037085801,96986,1,4,42324
p5,A,S0,active,degree,n80,t2,16,16,-2039144776,-2038894647,250129,7,92,16172
p5,A,S2,baseline,degree,n40,t0,4,9,-2036607672,-2036572815,34857,0,8,0
p5,A,S1,active,reach,n40,t0,16,16,-2037738114,-2037645559,92555,1,12,20392
p5,A,S3,baseline,reach,n80,t1,21,21,-2035722693,-2035663407,59286,1,10,0
p5,A,S3,baseline,reach,n20,t2,7,7,-2036023637,-2036002652,20985,0,2,0
p5,A,S0,active,degree,n40,t3,8,8,-2039657323,-2039437989,219334,4,59,13693
p5,A,S3,baseline,reach,n40,t2,14,15,-2035813420,-2035729445,83975,0,10,0
p5,A,S2,baseline,degree,n80,t0,11,19,-2036337651,-2036306532,31119,2,13,0
p5,A,S1,active,reach,n20,t1,11,11,-2037834794,-2037778044,56750,0,9,18869
p5,A,S2,baseline,degree,n20,t1,3,4,-2036797281,-2036771616,25665,1,12,0
p6,B,S3,baseline,degree,n80,t0,11,19,-1964153804,-1964138242,15562,0,0,0
p6,B,S2,baseline,reach,n80,t0,23,25,-1964600267,-1964548103,52164,0,0,0
p6,B,S1,active,degree,n20,t3,5,5,-1965746012,-1965693839,52173,0,0,4457
p6,B,S1,active,degree,n40,t3,7,8,-1965553826,-1965486429,67397,0,0,9052
p6,B,S2,baseline,reach,n20,t3,9,9,-1965001472,-1964941715,59757,0,0,0
p6,B,S3,baseline,degree,n40,t0,7,9,-1964260877,-1964247590,13287,0,0,0
p6,B,S0,active,reach,n40,t3,18,14,-1966563742,-1966410609,153133,0,0,18421
p6,B,S0,active,reach,n80,t3,22,28,-1966259315,-1966162732,96583,0,0,7231
p6,B,S2,baseline,reach,n40,t3,18,14,-1964728352,-1964697500,30852,0,0,0
p6,B,S3,baseline,degree,n20,t3,5,5,-1964416959,-1964395471,21488,0,0,0
p6,B,S1,active,degree,n80,t3,13,14,-1965257719,-1965219421,38298,0,0,1338
p6,B,S0,active,reach,n20,t2,10,7,-1966740320,-1966681306,59014,0,0,2014
p6,B,S0,active,reach,n40,t0,13,16,-1966342866,-1966264515,78351,0,0,9658
p6,B,S2,baseline,reach,n80,t1,25,21,-1964496868,-1964479350,17518,0,0,0
p6,B,S3,baseline,degree,n80,t1,13,13,-1964232068,-1964206416,25652,0,0,0
p6,B,S1,active,degree,n40,t0,5,9,-1965376943,-1965341037,35906,0,0,2067
p6,B,S2,baseline,reach,n20,t2,7,7,-1964842095,-1964817112,24983,0,0,0
p6,B,S1,active,degree,n20,t0,2,5,-1965621745,-1965561739,60006,0,0,6081
p6,B,S3,baseline,degree,n40,t1,6,9,-1964310951,-1964283672,27279,0,0,0
p6,B,S2,baseline,reach,n40,t2,16,15,-1964696532,-1964657818,38714,0,0,0
p6,B,S0,active,reach,n80,t0,26,25,-1966160661,-1966077025,83636,0,0,4570
p6,B,S0,active,reach,n20,t1,8,11,-1966860017,-1966805875,54142,0,0,3455
p6,B,S1,active,degree,n80,t0,9,19,-1965336700,-1965295863,40837,0,0,1551
p6,B,S3,baseline,degree,n20,t2,6,3,-1964330784,-1964315638,15146,0,0,0
p6,B,S2,baseline,reach,n80,t2,27,30,-1964654167,-1964601546,52621,0,0,0
p6,B,S0,active,reach,n40,t1,13,13,-1966408896,-1966344086,64810,0,0,5701
p6,B,S2,baseline,reach,n20,t1,10,11,-1964940776,-1964868154,72622,15,0,0
p6,B,S3,baseline,degree,n80,t2,44,16,-1964205119,-1964179746,25373,0,0,0
p6,B,S1,active,degree,n40,t1,6,9,-1965457435,-1965378145,79290,0,0,8122
p6,B,S3,baseline,degree,n40,t2,8,7,-1964282122,-1964261962,20160,0,0,0
p6,B,S1,active,degree,n20,t1,3,4,-1965692717,-1965655639,37078,0,0,6884
p6,B,S2,baseline,reach,n40,t1,14,13,-1964759708,-1964729939,29769,0,0,0
p6,B,S0,active,reach,n80,t1,20,21,-1966073781,-1965985563,88218,0,0,53272
p6,B,S0,active,reach,n20,t0,6,8,-1966679960,-1966640903,39057,0,0,1901
p6,B,S1,active,degree,n80,t1,16,13,-1965218134,-1965178169,39965,0,0,1068
p6,B,S3,baseline,degree,n20,t1,4,4,-1964394512,-1964375599,18913,0,0,0
p6,B,S0,active,reach,n40,t2,11,15,-1966635925,-1966565562,70363,0,0,15702
p6,B,S2,baseline,reach,n80,t3,24,28,-1964547153,-1964497962,49191,0,0,0
p6,B,S1,active,degree,n20,t2,3,3,-1965654447,-1965622791,31656,0,0,3844
p6,B,S3,baseline,degree,n80,t3,13,14,-1964176996,-1964154918,22078,0,0,0
p6,B,S1,active,degree,n40,t2,3,7,-1965485316,-1965458648,26668,0,0,3560
p6,B,S2,baseline,reach,n20,t0,7,8,-1964867080,-1964843111,23969,0,0,0
p6,B,S3,baseline,degree,n40,t3,5,8,-1964246458,-1964235158,11300,0,0,0
p6,B,S2,baseline,reach,n40,t0,12,16,-1964812471,-1964761063,51408,0,0,0
p6,B,S0,active,reach,n80,t2,32,30,-1965984199,-1965826632,157567,0,0,8388
p6,B,S1,active,degree,n80,t2,17,16,-1965293569,-1965259164,34405,0,0,1241
p6,B,S3,baseline,degree,n20,t0,3,5,-1964374195,-1964331830,42365,0,0,0
